domain,variable,label,prev_exposed,prev_unexposed,or_or,or_ci95,rr_rr,rr_ci95
Cardiometabólico / cardiovascular,CholCheck,Chequeo de colesterol en 5 años,0.1437,0.0254,6.429,"[5.654, 7.31]",5.649,"[4.985, 6.401]"
Cardiometabólico / cardiovascular,HighBP,Hipertensión arterial,0.2445,0.0604,5.038,"[4.91, 5.169]",4.051,"[3.959, 4.144]"
Estado de salud / funcionalidad,DiffWalk,Dificultad para caminar/subir escaleras,0.3075,0.1053,3.771,"[3.679, 3.866]",2.919,"[2.864, 2.975]"
Cardiometabólico / cardiovascular,HeartDiseaseorAttack,Cardiopatía coronaria o infarto,0.3297,0.1195,3.623,"[3.517, 3.733]",2.758,"[2.7, 2.817]"
Cardiometabólico / cardiovascular,HighChol,Colesterol alto,0.2201,0.0798,3.255,"[3.178, 3.333]",2.758,"[2.702, 2.816]"
Cardiometabólico / cardiovascular,Stroke,Antecedente de ictus,0.3175,0.1318,3.065,"[2.935, 3.2]",2.409,"[2.338, 2.483]"
Conductual / estilo de vida,Smoker,Fumador (≥100 cigarrillos de por vida),0.1629,0.1206,1.42,"[1.388, 1.452]",1.352,"[1.326, 1.378]"
Socioeconómico / acceso,NoDocbcCost,No fue al médico por costo (últimos 12m),0.1752,0.136,1.349,"[1.3, 1.401]",1.288,"[1.249, 1.329]"
Socioeconómico / acceso,AnyHealthcare,Tiene cobertura sanitaria,0.1406,0.1145,1.265,"[1.196, 1.339]",1.228,"[1.168, 1.291]"
Demográfico,Sex,"Sexo (0=mujer, 1=hombre)",0.1516,0.1297,1.199,"[1.173, 1.227]",1.169,"[1.147, 1.192]"
Conductual / estilo de vida,Fruits,Consume fruta ≥1/día,0.1286,0.1579,0.787,"[0.769, 0.805]",0.814,"[0.799, 0.83]"
Conductual / estilo de vida,Veggies,Consume verdura ≥1/día,0.1299,0.18,0.68,"[0.662, 0.698]",0.722,"[0.706, 0.738]"
Conductual / estilo de vida,PhysActivity,Actividad física (últimos 30 días),0.1161,0.2114,0.49,"[0.478, 0.502]",0.549,"[0.539, 0.56]"
Conductual / estilo de vida,HvyAlcoholConsump,Consumo elevado de alcohol,0.0584,0.1442,0.368,"[0.343, 0.395]",0.405,"[0.379, 0.433]"
