feature,importance
imc_slope_m,0.08538455192387605
glucosa_w90_mean,0.05829693637971662
riesgo_w90_mean,0.05581694536363127
glucosa_w180_mean,0.05212164184345881
glucosa_w30_mean,0.0499613040713652
peso_slope_m,0.04066495369552261
riesgo_current,0.03818039411695898
pad_w30_mean,0.033243286441641914
glucosa_current,0.03228125722356269
riesgo_w180_mean,0.02844245560138568
glucosa_w7_mean,0.027816588810363918
riesgo_w30_mean,0.02594772646078541
imc_w180_slope_m,0.025558214504540974
pas_current,0.02243710986268779
pad_current,0.0198416438083946
imc_r2,0.019172952995477912
pas_w180_mean,0.018671715755177856
imc_cum_change,0.017037636179697557
peso_w180_slope_m,0.016770363868499744
pad_w180_mean,0.016711713361392606
pad_w180_std,0.015438419391259239
pad_w90_mean,0.015198304288988601
glucosa_mean,0.015042897484754665
imc_pct_change,0.013822649499620577
pas_w30_mean,0.013659628991915227
pad_slope_m,0.011661908089032976
pad_std,0.010979410092822777
pad_var,0.010384158898748939
glucosa_max,0.010034668250225223
pas_w90_mean,0.009549932997890344
pad_cv,0.00772889429138733
peso_r2,0.007249625421833499
imc_w180_std,0.00686725238908967
imc_w30_mean,0.006779485203190996
riesgo_mean,0.006672224429614766
pad_w90_std,0.006058433511913558
imc_w180_mean,0.005808770658065053
imc_w90_std,0.00520849474980486
glucosa_min,0.0050393431462900365
peso_cum_change,0.004744823990722211
riesgo_w90_std,0.004735107181794718
glucosa_cum_change,0.004665779566205177
glucosa_slope_m,0.004624764981852572
imc_w90_mean,0.0043962016632057245
imc_current,0.004279388500196783
riesgo_slope_m,0.0040706055795914015
pas_slope_m,0.003920861957007695
peso_pct_change,0.003902666624783997
pas_mean,0.003842613694684261
pas_min,0.0036733777308825557
pad_mean,0.0036487306440925902
peso_w90_slope_m,0.003545299845031542
pad_min,0.0033115045650398143
riesgo_min,0.003093349573356835
pas_pct_change,0.0030788640073771373
riesgo_pct_change,0.003074726287628861
glucosa_w180_slope_m,0.0030401867874733255
pas_cum_change,0.0029777309891835077
riesgo_cum_change,0.002841313158508563
imc_w90_slope_m,0.0026896558370328675
glucosa_pct_change,0.002313654757989723
riesgo_cv,0.002165959964435088
riesgo_w90_slope_m,0.002132025904091073
riesgo_r2,0.002052274535958883
imc_mean,0.0019012402997911663
riesgo_w180_slope_m,0.0017562715754846118
riesgo_accel_m2,0.0016827041138629151
riesgo_w30_slope_m,0.001651523665279825
pad_pct_change,0.0014827546082023797
pad_r2,0.0014717635524033078
pad_w7_mean,0.001430976389543058
glucosa_w90_std,0.001429339211583937
riesgo_w180_std,0.0014124504403900079
